zipcode,year,borough,rent,home_value,count
10001,2015,MANHATTAN,4010.0,2280604.0,350
10001,2016,MANHATTAN,4022.983333333333,2369453.25,666
10001,2017,MANHATTAN,3958.383333333333,2271803.5,418
10001,2018,MANHATTAN,4001.0666666666666,2351996.8333333335,491
10001,2019,MANHATTAN,4145.266666666666,2380720.4166666665,275
10001,2020,MANHATTAN,3858.5750000000003,2026572.9166666667,391
10001,2021,MANHATTAN,4019.9333333333334,2007206.25,364
10001,2022,MANHATTAN,5545.745454545455,2202837.5,470
10002,2015,MANHATTAN,2982.1699999999996,1006425.0,337
10002,2016,MANHATTAN,3040.6583333333333,974477.6666666666,547
10002,2017,MANHATTAN,3079.7916666666665,905242.0,684
10002,2018,MANHATTAN,3143.608333333333,853343.0,724
10002,2019,MANHATTAN,3227.8416666666667,943931.5833333334,960
10002,2020,MANHATTAN,3080.6,957236.0833333334,539
10002,2021,MANHATTAN,3049.008333333333,863112.9166666666,397
10002,2022,MANHATTAN,3794.7545454545457,940974.8,522
10003,2015,MANHATTAN,3257.43,1449640.4166666667,607
10003,2016,MANHATTAN,3301.483333333333,1437530.25,635
10003,2017,MANHATTAN,3332.5916666666667,1402998.5,2184
10003,2018,MANHATTAN,3374.7749999999996,1471335.5833333333,1244
10003,2019,MANHATTAN,3475.691666666667,1490853.25,1123
10003,2020,MANHATTAN,3288.608333333333,1308532.25,884
10003,2021,MANHATTAN,3310.141666666667,1418296.8333333333,702
10003,2022,MANHATTAN,4170.638461538461,1587834.7,952
10005,2015,MANHATTAN,3588.99,1124187.9166666667,456
10005,2016,MANHATTAN,3578.9666666666667,1198957.3333333333,444
10005,2017,MANHATTAN,3561.7,1198042.8333333333,725
10005,2018,MANHATTAN,3661.1000000000004,1176414.25,466
10005,2019,MANHATTAN,3777.983333333333,1110440.6666666667,352
10005,2020,MANHATTAN,3618.4454545454546,1051902.6666666667,473
10005,2021,MANHATTAN,3604.608333333333,1026900.6666666666,457
10005,2022,MANHATTAN,4360.1,1083694.6,528
10009,2015,MANHATTAN,3152.19,1125703.5833333333,592
10009,2016,MANHATTAN,3196.025,1094491.4,683
10009,2017,MANHATTAN,3224.508333333333,1091941.3333333333,2593
10009,2018,MANHATTAN,3259.1499999999996,1150376.6666666667,1425
10009,2019,MANHATTAN,3342.991666666667,1107907.3333333333,1073
10009,2020,MANHATTAN,3172.7090909090907,1072772.8333333333,1043
10009,2021,MANHATTAN,3118.05,1074037.4166666667,711
10009,2022,MANHATTAN,4025.82,1170548.9,959
10010,2015,MANHATTAN,3595.1299999999997,1808973.8333333333,535
10010,2016,MANHATTAN,3645.1916666666666,1825040.0833333333,549
10010,2017,MANHATTAN,3684.6499999999996,1768572.25,942
10010,2018,MANHATTAN,3704.3416666666662,1694063.3333333333,1124
10010,2019,MANHATTAN,3807.875,1722271.1666666667,623
10010,2020,MANHATTAN,3581.866666666667,1592704.5833333333,613
10010,2021,MANHATTAN,3585.633333333333,1508217.1666666667,569
10010,2022,MANHATTAN,4772.05,1591799.7,827
10011,2015,MANHATTAN,3613.18,2082922.8333333333,514
10011,2016,MANHATTAN,3673.8250000000003,2136995.75,1100
10011,2017,MANHATTAN,3685.891666666667,2074661.0,1008
10011,2018,MANHATTAN,3747.2833333333338,2038438.3333333333,957
10011,2019,MANHATTAN,3843.141666666667,1966323.0833333333,934
10011,2020,MANHATTAN,3651.5416666666665,1778982.5833333333,739
10011,2021,MANHATTAN,3713.0,1686585.75,570
10011,2022,MANHATTAN,9458.6625,1838263.9,739
10012,2015,MANHATTAN,3222.57,2477989.8333333335,403
10012,2016,MANHATTAN,3280.0166666666664,2501080.5833333335,370
10012,2017,MANHATTAN,3292.858333333333,2312505.0833333335,1131
10012,2018,MANHATTAN,3346.0166666666664,2397648.25,821
10012,2019,MANHATTAN,3464.5833333333335,2606977.5,1154
10012,2020,MANHATTAN,3287.991666666667,2532089.0833333335,646
10012,2021,MANHATTAN,3307.925,2544311.5,436
10012,2022,MANHATTAN,10005.7625,2857817.5,594
10013,2015,MANHATTAN,4612.259999999999,3401886.4166666665,983
10013,2016,MANHATTAN,4649.466666666666,3509708.75,1090
10013,2017,MANHATTAN,4670.516666666666,3468381.75,1050
10013,2018,MANHATTAN,4776.9,3371905.3333333335,1249
10013,2019,MANHATTAN,4923.258333333333,3310300.5,1779
10013,2020,MANHATTAN,4719.058333333333,3236128.0,904
10013,2021,MANHATTAN,4764.283333333334,3157718.6666666665,1047
10013,2022,MANHATTAN,14700.831578947369,3421585.1,1266
10014,2015,MANHATTAN,3502.4100000000003,2047521.3333333333,137
10014,2016,MANHATTAN,3545.5,2091179.25,127
10014,2017,MANHATTAN,3591.116666666667,2288907.0833333335,256
10014,2018,MANHATTAN,3657.8083333333334,2461694.4166666665,269
10014,2019,MANHATTAN,3771.2999999999997,2295021.6666666665,444
10014,2020,MANHATTAN,3633.133333333333,2124108.6666666665,175
10014,2021,MANHATTAN,3703.391666666667,1977412.5,161
10014,2022,MANHATTAN,10878.275,2181070.2,218
10016,2015,MANHATTAN,3569.0899999999997,1060130.0,436
10016,2016,MANHATTAN,3570.183333333333,1098404.3333333333,431
10016,2017,MANHATTAN,3548.883333333333,1102129.4166666667,271
10016,2018,MANHATTAN,3587.733333333333,1091157.1666666667,511
10016,2019,MANHATTAN,3682.5666666666666,1059822.5,396
10016,2020,MANHATTAN,3456.2999999999997,1006588.1666666666,312
10016,2021,MANHATTAN,3446.5249999999996,977836.4166666666,467
10016,2022,MANHATTAN,4345.981818181818,1023268.1,561
10017,2015,MANHATTAN,3099.92,1001648.4166666666,415
10017,2016,MANHATTAN,3156.4750000000004,1025001.5,357
10017,2017,MANHATTAN,3152.241666666667,984854.6363636364,222
10017,2018,MANHATTAN,3146.508333333333,938151.1666666666,389
10017,2019,MANHATTAN,3210.633333333333,981281.25,681
10017,2020,MANHATTAN,3028.608333333333,992564.5833333334,474
10017,2021,MANHATTAN,3006.1000000000004,870552.75,374
10017,2022,MANHATTAN,5234.307692307692,895369.4,462
10018,2015,MANHATTAN,3638.65,1686661.0,1312
10018,2016,MANHATTAN,3625.108333333333,1599573.7,1262
10018,2017,MANHATTAN,3704.858333333333,1513678.25,1064
10018,2018,MANHATTAN,3713.233333333333,1463682.25,2485
10018,2019,MANHATTAN,3843.2083333333335,1388542.4166666667,1094
10018,2020,MANHATTAN,3557.9333333333334,1373589.5,1151
10018,2021,MANHATTAN,3630.608333333333,1433693.8333333333,1147
10018,2022,MANHATTAN,4461.781818181818,1546807.6,1388
10019,2015,MANHATTAN,3500.58,1384739.9166666667,363
10019,2016,MANHATTAN,3497.2,1425513.8333333333,364
10019,2017,MANHATTAN,3483.0,1399609.75,462
10019,2018,MANHATTAN,3483.0249999999996,1376501.5833333333,928
10019,2019,MANHATTAN,3545.383333333333,1303237.3333333333,564
10019,2020,MANHATTAN,3345.2250000000004,1240222.0833333333,490
10019,2021,MANHATTAN,3347.1916666666666,1232561.75,385
10019,2022,MANHATTAN,6040.536363636364,1319272.4,457
10021,2015,MANHATTAN,2634.5,1349713.8333333333,309
10021,2016,MANHATTAN,2668.4333333333334,1356499.0833333333,266
10021,2017,MANHATTAN,2686.633333333333,1373223.75,344
10021,2018,MANHATTAN,2736.3083333333334,1459849.8333333333,337
10021,2019,MANHATTAN,2812.8416666666667,1378502.4166666667,704
10021,2020,MANHATTAN,2695.725,1394769.5,327
10021,2021,MANHATTAN,2602.858333333333,1406696.8333333333,341
10021,2022,MANHATTAN,6224.414285714286,1531814.6,449
10022,2015,MANHATTAN,3234.7799999999997,1466448.3333333333,240
10022,2016,MANHATTAN,3271.141666666667,1356859.9090909092,248
10022,2017,MANHATTAN,3268.0333333333333,1284408.5,235
10022,2018,MANHATTAN,3282.8999999999996,1318202.0,238
10022,2019,MANHATTAN,3353.0249999999996,1302252.8333333333,501
10022,2020,MANHATTAN,3190.8500000000004,1269762.6666666667,270
10022,2021,MANHATTAN,3095.7166666666667,1144579.3333333333,257
10022,2022,MANHATTAN,7019.041666666667,1189999.6,340
10023,2015,MANHATTAN,3444.4,1306792.1666666667,461
10023,2016,MANHATTAN,3451.875,1376116.4166666667,416
10023,2017,MANHATTAN,3446.491666666667,1406405.0833333333,778
10023,2018,MANHATTAN,3476.7666666666664,1488123.6666666667,794
10023,2019,MANHATTAN,3530.3083333333334,1403723.0833333333,1477
10023,2020,MANHATTAN,3373.625,1454721.9166666667,645
10023,2021,MANHATTAN,3376.3999999999996,1448189.6666666667,515
10023,2022,MANHATTAN,4545.263636363637,1536943.7,722
10024,2015,MANHATTAN,3025.7,1471960.5833333333,710
10024,2016,MANHATTAN,3042.266666666667,1500554.9166666667,703
10024,2017,MANHATTAN,3044.55,1546713.4166666667,786
10024,2018,MANHATTAN,3087.358333333333,1750179.9166666667,879
10024,2019,MANHATTAN,3166.4583333333335,1726462.0833333333,1721
10024,2020,MANHATTAN,3047.9333333333334,1633054.6666666667,799
10024,2021,MANHATTAN,2990.725,1627470.75,773
10024,2022,MANHATTAN,5091.381818181818,1737841.6,1014
10026,2015,MANHATTAN,2614.06,919022.3333333334,414
10026,2016,MANHATTAN,2677.0416666666665,977956.8333333334,404
10026,2017,MANHATTAN,2696.6,1001081.75,990
10026,2018,MANHATTAN,2736.6833333333334,1002733.6666666666,826
10026,2019,MANHATTAN,2801.9666666666667,972939.4166666666,501
10026,2020,MANHATTAN,2688.4666666666667,951243.25,540
10026,2021,MANHATTAN,2597.233333333333,950124.75,466
10026,2022,MANHATTAN,2975.88,1009945.7,626
10027,2015,MANHATTAN,2451.27,908313.0833333334,334
10027,2016,MANHATTAN,2527.891666666667,999008.6666666666,343
10027,2017,MANHATTAN,2544.891666666667,1000663.4166666666,738
10027,2018,MANHATTAN,2598.5416666666665,978541.1666666666,704
10027,2019,MANHATTAN,2660.891666666667,973867.5833333334,417
10027,2020,MANHATTAN,2580.0583333333334,860804.75,410
10027,2021,MANHATTAN,2475.0416666666665,861995.5,379
10027,2022,MANHATTAN,3562.2545454545457,909733.4,515
10028,2015,MANHATTAN,2694.51,1583822.0,472
10028,2016,MANHATTAN,2745.633333333333,1566997.25,477
10028,2017,MANHATTAN,2776.375,1528383.8333333333,745
10028,2018,MANHATTAN,2816.675,1635218.25,719
10028,2019,MANHATTAN,2901.5666666666666,1572678.0,1265
10028,2020,MANHATTAN,2781.9750000000004,1477434.0,590
10028,2021,MANHATTAN,2666.616666666667,1409508.8333333333,516
10028,2022,MANHATTAN,8709.653846153846,1515127.0,674
10029,2015,MANHATTAN,2368.1,860422.6666666666,290
10029,2016,MANHATTAN,2384.0833333333335,855316.0,281
10029,2017,MANHATTAN,2466.4083333333333,899730.0,825
10029,2018,MANHATTAN,2515.175,935123.5,523
10029,2019,MANHATTAN,2560.625,684806.0,332
10029,2020,MANHATTAN,2452.9750000000004,546641.0,354
10029,2021,MANHATTAN,2293.5333333333333,700709.0833333334,312
10029,2022,MANHATTAN,2823.9692307692308,801171.2,410
10030,2015,MANHATTAN,1979.18,719161.1666666666,370
10030,2016,MANHATTAN,2100.8333333333335,801139.5,375
10030,2017,MANHATTAN,2139.7,843828.6666666666,765
10030,2018,MANHATTAN,2182.7083333333335,870348.75,708
10030,2019,MANHATTAN,2256.0916666666667,871621.6666666666,401
10030,2020,MANHATTAN,2235.6833333333334,855222.75,412
10030,2021,MANHATTAN,2183.5,821686.8333333334,413
10030,2022,MANHATTAN,2463.22,868316.2,495
10031,2015,MANHATTAN,2225.71,685248.9166666666,350
10031,2016,MANHATTAN,2322.3416666666667,716766.4166666666,357
10031,2017,MANHATTAN,2368.883333333333,726529.5833333334,804
10031,2018,MANHATTAN,2416.7166666666667,768459.3333333334,798
10031,2019,MANHATTAN,2476.55,728754.5833333334,466
10031,2020,MANHATTAN,2427.5333333333333,655639.25,458
10031,2021,MANHATTAN,2350.375,676006.25,376
10031,2022,MANHATTAN,3460.6153846153848,724138.8,481
10032,2015,MANHATTAN,2079.97,436993.4166666667,212
10032,2016,MANHATTAN,2118.925,445350.75,222
10032,2017,MANHATTAN,2214.625,462878.5833333333,266
10032,2018,MANHATTAN,2240.5,518966.75,332
10032,2019,MANHATTAN,2269.3416666666667,581325.9166666666,658
10032,2020,MANHATTAN,2234.6499999999996,520918.6666666667,286
10032,2021,MANHATTAN,2179.266666666667,621062.0833333334,242
10032,2022,MANHATTAN,2435.19,661736.2,310
10033,2015,MANHATTAN,2151.71,564003.75,161
10033,2016,MANHATTAN,2231.6833333333334,609010.75,171
10033,2017,MANHATTAN,2259.1499999999996,622307.1666666666,250
10033,2018,MANHATTAN,2328.2333333333336,658638.75,249
10033,2019,MANHATTAN,2371.325,646203.75,484
10033,2020,MANHATTAN,2321.25,582700.4166666666,218
10033,2021,MANHATTAN,2248.7250000000004,608596.5,180
10033,2022,MANHATTAN,2451.39,635817.9,227
10034,2015,MANHATTAN,1805.9,386398.0833333333,131
10034,2016,MANHATTAN,1860.2083333333333,434167.4166666667,114
10034,2017,MANHATTAN,1886.0249999999999,465052.9166666667,93
10034,2018,MANHATTAN,1956.5583333333334,464972.75,294
10034,2019,MANHATTAN,1994.0666666666666,485960.6666666667,99
10034,2020,MANHATTAN,2003.3999999999999,436680.4166666667,110
10034,2021,MANHATTAN,1955.5833333333333,448655.25,139
10034,2022,MANHATTAN,2118.12,491804.9,138
10035,2015,MANHATTAN,2252.17,861841.4166666666,111
10035,2016,MANHATTAN,2302.3333333333335,850324.25,93
10035,2017,MANHATTAN,2374.008333333333,895862.25,330
10035,2018,MANHATTAN,2419.8083333333334,898639.75,189
10035,2019,MANHATTAN,2484.4583333333335,803571.1666666666,117
10035,2020,MANHATTAN,2404.475,777439.9166666666,152
10035,2021,MANHATTAN,2337.5,732842.25,123
10035,2022,MANHATTAN,2625.1363636363635,772017.7,172
10037,2019,MANHATTAN,2188.133333333333,464354.5,290
10037,2020,MANHATTAN,2139.575,486854.6666666667,317
10037,2021,MANHATTAN,2060.6666666666665,517288.25,291
10037,2022,MANHATTAN,2308.7,554257.0,391
10039,2020,MANHATTAN,2116.7625000000003,614849.5,269
10039,2021,MANHATTAN,2046.7916666666667,668714.6666666666,229
10039,2022,MANHATTAN,2336.51,698445.9,304
10040,2015,MANHATTAN,1717.1100000000001,530894.6666666666,112
10040,2016,MANHATTAN,1766.8583333333333,605967.8333333334,116
10040,2017,MANHATTAN,1835.7666666666669,593367.9166666666,177
10040,2018,MANHATTAN,1881.9166666666667,567769.75,320
10040,2019,MANHATTAN,1928.9166666666667,556148.25,228
10040,2020,MANHATTAN,1951.2333333333331,477450.1666666667,146
10040,2021,MANHATTAN,1913.6499999999999,501409.8333333333,120
10040,2022,MANHATTAN,2127.76,540188.9,152
10044,2020,MANHATTAN,3086.6666666666665,943722.9166666666,77
10044,2021,MANHATTAN,3113.883333333333,940439.6666666666,77
10044,2022,MANHATTAN,3807.918181818182,973310.4,85
10065,2015,MANHATTAN,3004.76,1472092.4166666667,220
10065,2016,MANHATTAN,3053.633333333333,1472436.5,263
10065,2017,MANHATTAN,3066.5333333333333,1442142.9166666667,219
10065,2018,MANHATTAN,3120.1916666666666,1486847.75,204
10065,2019,MANHATTAN,3200.258333333333,1465692.6666666667,506
10065,2020,MANHATTAN,3073.875,1477968.25,298
10065,2021,MANHATTAN,2983.575,1491214.9166666667,206
10065,2022,MANHATTAN,10581.142857142857,1595670.0,301
10069,2017,MANHATTAN,4759.816666666667,2227467.8333333335,66
10069,2018,MANHATTAN,4824.108333333334,2089360.5833333333,49
10069,2019,MANHATTAN,4985.816666666667,1984795.5833333333,109
10069,2020,MANHATTAN,4628.950000000001,1933001.5,42
10069,2021,MANHATTAN,4793.375,1941931.25,51
10069,2022,MANHATTAN,5675.4,2102033.6,67
10075,2015,MANHATTAN,2304.86,1019505.8333333334,236
10075,2016,MANHATTAN,2337.1833333333334,1037782.9166666666,239
10075,2017,MANHATTAN,2357.1916666666666,1030613.4166666666,342
10075,2018,MANHATTAN,2390.233333333333,1140534.6666666667,357
10075,2019,MANHATTAN,2488.5583333333334,1125781.4166666667,729
10075,2020,MANHATTAN,2414.9750000000004,1135156.9166666667,336
10075,2021,MANHATTAN,2304.8166666666666,1163591.75,267
10075,2022,MANHATTAN,2890.02,1248309.8,370
10280,2016,MANHATTAN,3456.2,954916.5833333334,64
10280,2017,MANHATTAN,3407.575,989377.9166666666,212
10280,2018,MANHATTAN,3489.8999999999996,987590.5,64
10280,2019,MANHATTAN,3622.3083333333334,918778.8333333334,50
10280,2020,MANHATTAN,3425.758333333333,883809.1666666666,66
10280,2021,MANHATTAN,3535.6916666666666,843551.25,68
10280,2022,MANHATTAN,4196.99,885593.6,101
10282,2015,MANHATTAN,5768.61,2312762.0,17
10282,2016,MANHATTAN,5720.141666666666,2386422.9166666665,19
10282,2017,MANHATTAN,5776.833333333333,2386658.8333333335,41
10282,2018,MANHATTAN,5750.791666666667,2399849.0833333335,38
10282,2019,MANHATTAN,6012.1,2291999.0833333335,49
10282,2020,MANHATTAN,5772.041666666667,2185345.3333333335,23
10282,2021,MANHATTAN,5967.181818181818,2190434.25,19
10282,2022,MANHATTAN,7539.07,2407798.3,31
10301,2022,STATEN_ISLAND,2204.6,667275.2,143
10303,2022,STATEN_ISLAND,3000.0,476213.6,22
10304,2020,STATEN_ISLAND,2397.8,549567.5,20
10304,2021,STATEN_ISLAND,2116.6833333333334,582417.1666666666,31
10304,2022,STATEN_ISLAND,2245.108333333333,637631.5,35
10305,2021,STATEN_ISLAND,1893.7,587424.5833333334,45
10305,2022,STATEN_ISLAND,2109.0,650454.3,53
10306,2021,STATEN_ISLAND,1660.25,606155.25,34
10306,2022,STATEN_ISLAND,1997.6909090909091,670325.1,35
10308,2022,STATEN_ISLAND,2432.9,650727.1,18
10309,2022,STATEN_ISLAND,1925.65,713093.5,6
10312,2021,STATEN_ISLAND,1898.6333333333334,603904.75,7
10312,2022,STATEN_ISLAND,1999.7583333333334,673293.5,11
10314,2016,STATEN_ISLAND,1414.97,435365.6666666667,6
10314,2017,STATEN_ISLAND,1507.881818181818,487216.1666666667,3
10314,2018,STATEN_ISLAND,1568.375,539089.9166666666,4
10314,2019,STATEN_ISLAND,1625.4,545351.1666666666,8
10314,2020,STATEN_ISLAND,1799.5333333333333,541988.5,3
10314,2021,STATEN_ISLAND,1921.9250000000002,573984.6666666666,7
10314,2022,STATEN_ISLAND,2054.54,637929.3,9
10452,2022,BRONX,1895.0636363636363,417875.1,56
10453,2022,BRONX,1857.35,677833.4,69
10454,2022,BRONX,2595.5375,652391.5,90
10455,2022,BRONX,2090.2625,462821.0,72
10456,2022,BRONX,2152.9375,454902.9,98
10457,2015,BRONX,1301.13,324363.9166666667,51
10457,2016,BRONX,1432.8181818181818,352507.75,44
10457,2017,BRONX,1530.2083333333333,377363.5,18
10457,2018,BRONX,1655.5916666666667,404723.3333333333,21
10457,2019,BRONX,1707.35,458172.4166666667,24
10457,2020,BRONX,1824.7416666666666,496782.0833333333,16
10457,2021,BRONX,1811.7916666666667,522452.5,56
10457,2022,BRONX,1950.83,543640.7,69
10458,2015,BRONX,1412.1899999999998,284365.8333333333,41
10458,2016,BRONX,1531.75,307498.6666666667,47
10458,2017,BRONX,1663.9083333333335,332939.75,27
10458,2018,BRONX,1741.6083333333333,353069.4166666667,23
10458,2019,BRONX,1782.5916666666667,400902.4166666667,15
10458,2020,BRONX,1867.7083333333333,378771.9166666667,26
10458,2021,BRONX,1945.2666666666669,457956.75,51
10458,2022,BRONX,2114.018181818182,487849.6,59
10460,2022,BRONX,2020.78,594086.1,44
10461,2015,BRONX,1320.46,409960.1666666667,49
10461,2016,BRONX,1388.975,419900.0,39
10461,2017,BRONX,1496.525,453681.8333333333,13
10461,2018,BRONX,1579.2916666666667,489976.8333333333,14
10461,2019,BRONX,1667.9166666666667,532643.8333333334,31
10461,2020,BRONX,1767.5166666666667,578386.0833333334,26
10461,2021,BRONX,1824.5500000000002,610815.9166666666,50
10461,2022,BRONX,1934.05,655278.1,58
10462,2015,BRONX,1372.0099999999998,124176.0,42
10462,2016,BRONX,1475.3416666666667,134210.25,42
10462,2017,BRONX,1564.3000000000002,143315.5,28
10462,2018,BRONX,1642.2083333333333,162510.5,28
10462,2019,BRONX,1721.125,184555.58333333334,48
10462,2020,BRONX,1766.3083333333334,202890.33333333334,25
10462,2021,BRONX,1811.8583333333333,199231.58333333334,51
10462,2022,BRONX,1954.77,200402.2,58
10463,2015,BRONX,2072.79,333158.6666666667,48
10463,2016,BRONX,2171.2833333333333,366111.25,48
10463,2017,BRONX,2250.5416666666665,373742.6666666667,48
10463,2018,BRONX,2308.025,357383.4166666667,105
10463,2019,BRONX,2340.675,403598.0833333333,79
10463,2020,BRONX,2378.5,434285.0833333333,51
10463,2021,BRONX,2379.1833333333334,430870.8333333333,59
10463,2022,BRONX,2524.1545454545453,434158.3,73
10465,2016,BRONX,1705.875,404541.0833333333,28
10465,2017,BRONX,1845.1000000000001,434136.0833333333,3
10465,2018,BRONX,1928.8583333333331,471863.25,6
10465,2019,BRONX,1979.9250000000002,511188.1666666667,22
10465,2020,BRONX,2125.133333333333,535341.5,13
10465,2021,BRONX,2136.7250000000004,574414.9166666666,36
10465,2022,BRONX,2330.01,613625.8,39
10466,2022,BRONX,1946.7142857142858,560980.3,119
10467,2015,BRONX,1358.46,286850.5,70
10467,2016,BRONX,1433.7833333333333,295318.9166666667,57
10467,2017,BRONX,1549.025,324620.0,44
10467,2018,BRONX,1643.7666666666667,360789.5833333333,54
10467,2019,BRONX,1712.6416666666667,392851.9166666667,58
