"Label (Grouping)","HOUSING OCCUPANCY","HOUSING OCCUPANCY!!Total housing units","HOUSING OCCUPANCY!!Total housing units!!Occupied housing units","HOUSING OCCUPANCY!!Total housing units!!Vacant housing units","HOUSING OCCUPANCY!!Homeowner vacancy rate","HOUSING OCCUPANCY!!Rental vacancy rate","UNITS IN STRUCTURE","UNITS IN STRUCTURE!!Total housing units","UNITS IN STRUCTURE!!Total housing units!!1-unit, detached","UNITS IN STRUCTURE!!Total housing units!!1-unit, attached","UNITS IN STRUCTURE!!Total housing units!!2 units","UNITS IN STRUCTURE!!Total housing units!!3 or 4 units","UNITS IN STRUCTURE!!Total housing units!!5 to 9 units","UNITS IN STRUCTURE!!Total housing units!!10 to 19 units","UNITS IN STRUCTURE!!Total housing units!!20 or more units","UNITS IN STRUCTURE!!Total housing units!!Mobile home","UNITS IN STRUCTURE!!Total housing units!!Boat, RV, van, etc.","YEAR STRUCTURE BUILT","YEAR STRUCTURE BUILT!!Total housing units","YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 or later","YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009","YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999","YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989","YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979","YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969","YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959","YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949","YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier","ROOMS","ROOMS!!Total housing units","ROOMS!!Total housing units!!1 room","ROOMS!!Total housing units!!2 rooms","ROOMS!!Total housing units!!3 rooms","ROOMS!!Total housing units!!4 rooms","ROOMS!!Total housing units!!5 rooms","ROOMS!!Total housing units!!6 rooms","ROOMS!!Total housing units!!7 rooms","ROOMS!!Total housing units!!8 rooms","ROOMS!!Total housing units!!9 rooms or more","ROOMS!!Total housing units!!Median rooms","BEDROOMS","BEDROOMS!!Total housing units","BEDROOMS!!Total housing units!!No bedroom","BEDROOMS!!Total housing units!!1 bedroom","BEDROOMS!!Total housing units!!2 bedrooms","BEDROOMS!!Total housing units!!3 bedrooms","BEDROOMS!!Total housing units!!4 bedrooms","BEDROOMS!!Total housing units!!5 or more bedrooms","HOUSING TENURE","HOUSING TENURE!!Occupied housing units","HOUSING TENURE!!Occupied housing units!!Owner-occupied","HOUSING TENURE!!Occupied housing units!!Renter-occupied","HOUSING TENURE!!Average household size of owner-occupied unit","HOUSING TENURE!!Average household size of renter-occupied unit","YEAR HOUSEHOLDER MOVED INTO UNIT","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2010 or later","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2000 to 2009","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1990 to 1999","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1980 to 1989","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1970 to 1979","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1969 or earlier","VEHICLES AVAILABLE","VEHICLES AVAILABLE!!Occupied housing units","VEHICLES AVAILABLE!!Occupied housing units!!No vehicles available","VEHICLES AVAILABLE!!Occupied housing units!!1 vehicle available","VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available","VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available","HOUSE HEATING FUEL","HOUSE HEATING FUEL!!Occupied housing units","HOUSE HEATING FUEL!!Occupied housing units!!Utility gas","HOUSE HEATING FUEL!!Occupied housing units!!Bottled, tank, or LP gas","HOUSE HEATING FUEL!!Occupied housing units!!Electricity","HOUSE HEATING FUEL!!Occupied housing units!!Fuel oil, kerosene, etc.","HOUSE HEATING FUEL!!Occupied housing units!!Coal or coke","HOUSE HEATING FUEL!!Occupied housing units!!Wood","HOUSE HEATING FUEL!!Occupied housing units!!Solar energy","HOUSE HEATING FUEL!!Occupied housing units!!Other fuel","HOUSE HEATING FUEL!!Occupied housing units!!No fuel used","SELECTED CHARACTERISTICS","SELECTED CHARACTERISTICS!!Occupied housing units","SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities","SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities","SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available","OCCUPANTS PER ROOM","OCCUPANTS PER ROOM!!Occupied housing units","OCCUPANTS PER ROOM!!Occupied housing units!!1.00 or less","OCCUPANTS PER ROOM!!Occupied housing units!!1.01 to 1.50","OCCUPANTS PER ROOM!!Occupied housing units!!1.51 or more","VALUE","VALUE!!Owner-occupied units","VALUE!!Owner-occupied units!!Less than $50,000","VALUE!!Owner-occupied units!!$50,000 to $99,999","VALUE!!Owner-occupied units!!$100,000 to $149,999","VALUE!!Owner-occupied units!!$150,000 to $199,999","VALUE!!Owner-occupied units!!$200,000 to $299,999","VALUE!!Owner-occupied units!!$300,000 to $499,999","VALUE!!Owner-occupied units!!$500,000 to $999,999","VALUE!!Owner-occupied units!!$1,000,000 or more","VALUE!!Owner-occupied units!!Median (dollars)","MORTGAGE STATUS","MORTGAGE STATUS!!Owner-occupied units","MORTGAGE STATUS!!Owner-occupied units!!Housing units with a mortgage","MORTGAGE STATUS!!Owner-occupied units!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Less than $300","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$300 to $499","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$500 to $699","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$700 to $999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,000 to $1,499","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,500 to $1,999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$2,000 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Median (dollars)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Less than $100","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$100 to $199","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$200 to $299","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$300 to $399","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$400 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Median (dollars)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 20.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Not computed","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 10.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!10.0 to 14.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!15.0 to 19.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Not computed","GROSS RENT","GROSS RENT!!Occupied units paying rent","GROSS RENT!!Occupied units paying rent!!Less than $200","GROSS RENT!!Occupied units paying rent!!$200 to $299","GROSS RENT!!Occupied units paying rent!!$300 to $499","GROSS RENT!!Occupied units paying rent!!$500 to $749","GROSS RENT!!Occupied units paying rent!!$750 to $999","GROSS RENT!!Occupied units paying rent!!$1,000 to $1,499","GROSS RENT!!Occupied units paying rent!!$1,500 or more","GROSS RENT!!Occupied units paying rent!!Median (dollars)","GROSS RENT!!No rent paid","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!Less than 15.0 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!15.0 to 19.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!20.0 to 24.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!25.0 to 29.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!30.0 to 34.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!35.0 percent or more","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Not computed"
"Bronx borough, Bronx County, New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","516,474","481,143","35,331","2.0","2.8","","516,474","25,996","22,118","51,328","50,467","19,446","25,947","319,503","752","917","","516,474","6,336","25,742","20,970","20,562","42,070","65,697","73,453","55,519","206,125","","516,474","40,538","16,496","136,455","154,007","101,739","37,472","13,585","7,256","8,926","3.9","","516,474","42,753","166,653","171,843","107,952","20,045","7,228","","481,143","89,153","391,990","3.03","2.82","","481,143","135,615","184,427","77,800","38,646","29,812","14,843","","481,143","281,921","143,773","47,056","8,393","","481,143","179,561","7,303","38,717","242,066","321","155","338","5,333","7,349","","481,143","1,998","3,284","11,229","","481,143","422,594","30,757","27,792","","89,153","8,468","3,430","5,045","5,481","10,045","39,340","15,936","1,408","369,400","","89,153","53,570","35,583","","53,570","575","1,181","1,559","3,052","6,234","7,333","33,636","2,366","35,583","5,113","2,315","2,666","1,672","23,817","723","","53,299","13,973","5,942","5,330","4,117","23,937","271","34,933","13,809","4,738","3,320","1,563","2,089","1,670","7,744","650","","384,022","7,013","26,160","31,236","34,749","71,173","157,766","55,925","1,056","7,968","","375,748","34,909","33,554","40,353","43,142","36,656","187,134","16,242"
"    Margin of Error","","±1,350","±3,463","±2,996","±0.7","±0.5","","±1,350","±2,488","±1,990","±3,039","±3,443","±2,401","±2,552","±5,537","±422","±869","","±1,350","±1,179","±2,340","±2,283","±2,494","±3,080","±4,683","±4,506","±3,748","±6,249","","±1,350","±4,301","±1,924","±5,717","±6,129","±5,245","±2,903","±1,719","±1,275","±1,016","±0.1","","±1,350","±4,346","±5,881","±5,892","±4,884","±2,370","±1,245","","±3,463","±3,961","±4,380","±0.12","±0.03","","±3,463","±5,055","±5,258","±4,833","±2,972","±2,712","±1,673","","±3,463","±6,309","±6,055","±4,042","±1,302","","±3,463","±5,703","±1,178","±3,707","±6,573","±275","±177","±254","±1,041","±1,238","","±3,463","±931","±925","±1,383","","±3,463","±4,765","±2,849","±2,894","","±3,961","±1,577","±1,062","±1,160","±1,057","±1,358","±2,659","±1,707","±586","±11,292","","±3,961","±3,426","±2,780","","±3,426","±509","±501","±678","±789","±1,071","±1,061","±2,697","±79","±2,780","±1,651","±848","±916","±614","±2,210","±43","","±3,413","±1,967","±1,128","±1,227","±1,050","±2,318","±268","±2,767","±1,997","±1,005","±799","±540","±825","±673","±1,534","±304","","±4,520","±1,421","±2,690","±2,735","±2,536","±4,780","±5,367","±3,897","±11","±1,741","","±4,810","±3,199","±2,868","±3,655","±3,752","±3,510","±6,086","±2,846"
"    Percent","","516,474","93.2%","6.8%","(X)","(X)","","516,474","5.0%","4.3%","9.9%","9.8%","3.8%","5.0%","61.9%","0.1%","0.2%","","516,474","1.2%","5.0%","4.1%","4.0%","8.1%","12.7%","14.2%","10.7%","39.9%","","516,474","7.8%","3.2%","26.4%","29.8%","19.7%","7.3%","2.6%","1.4%","1.7%","(X)","","516,474","8.3%","32.3%","33.3%","20.9%","3.9%","1.4%","","481,143","18.5%","81.5%","(X)","(X)","","481,143","28.2%","38.3%","16.2%","8.0%","6.2%","3.1%","","481,143","58.6%","29.9%","9.8%","1.7%","","481,143","37.3%","1.5%","8.0%","50.3%","0.1%","0.0%","0.1%","1.1%","1.5%","","481,143","0.4%","0.7%","2.3%","","481,143","87.8%","6.4%","5.8%","","89,153","9.5%","3.8%","5.7%","6.1%","11.3%","44.1%","17.9%","1.6%","(X)","","89,153","60.1%","39.9%","","53,570","1.1%","2.2%","2.9%","5.7%","11.6%","13.7%","62.8%","(X)","35,583","14.4%","6.5%","7.5%","4.7%","66.9%","(X)","","53,299","26.2%","11.1%","10.0%","7.7%","44.9%","(X)","34,933","39.5%","13.6%","9.5%","4.5%","6.0%","4.8%","22.2%","(X)","","384,022","1.8%","6.8%","8.1%","9.0%","18.5%","41.1%","14.6%","(X)","(X)","","375,748","9.3%","8.9%","10.7%","11.5%","9.8%","49.8%","(X)"
"    Percent Margin of Error","","(X)","±0.6","±0.6","(X)","(X)","","(X)","±0.5","±0.4","±0.6","±0.7","±0.5","±0.5","±1.1","±0.1","±0.2","","(X)","±0.2","±0.5","±0.4","±0.5","±0.6","±0.9","±0.9","±0.7","±1.2","","(X)","±0.8","±0.4","±1.1","±1.2","±1.0","±0.6","±0.3","±0.2","±0.2","(X)","","(X)","±0.8","±1.1","±1.1","±0.9","±0.5","±0.2","","(X)","±0.8","±0.8","(X)","(X)","","(X)","±1.1","±1.0","±1.0","±0.6","±0.6","±0.3","","(X)","±1.2","±1.3","±0.8","±0.3","","(X)","±1.2","±0.2","±0.8","±1.3","±0.1","±0.1","±0.1","±0.2","±0.3","","(X)","±0.2","±0.2","±0.3","","(X)","±0.7","±0.6","±0.6","","(X)","±1.7","±1.2","±1.2","±1.1","±1.5","±2.4","±1.8","±0.7","(X)","","(X)","±2.6","±2.6","","(X)","±0.9","±0.9","±1.2","±1.5","±1.9","±1.9","±2.9","(X)","(X)","±4.3","±2.2","±2.5","±1.7","±4.8","(X)","","(X)","±3.2","±2.2","±2.1","±1.9","±3.4","(X)","(X)","±4.5","±2.9","±2.3","±1.5","±2.3","±1.9","±3.8","(X)","","(X)","±0.4","±0.7","±0.7","±0.7","±1.2","±1.3","±1.0","(X)","(X)","","(X)","±0.8","±0.7","±1.0","±1.0","±0.9","±1.4","(X)"
"Brooklyn borough, Kings County, New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,006,081","925,489","80,592","1.9","3.4","","1,006,081","51,348","86,012","180,967","175,634","106,716","58,217","345,088","1,407","692","","1,006,081","10,343","58,377","25,248","30,000","50,522","120,266","108,962","87,138","515,225","","1,006,081","51,674","49,342","244,510","283,306","183,362","94,932","38,076","23,000","37,879","4.1","","1,006,081","56,819","287,876","347,686","227,484","55,027","31,189","","925,489","274,241","651,248","3.03","2.64","","925,489","283,268","319,620","153,011","82,353","50,512","36,725","","925,489","503,768","310,340","97,414","13,967","","925,489","708,931","19,848","67,864","103,757","132","427","325","9,219","14,986","","925,489","5,075","7,334","18,478","","925,489","831,927","61,886","31,676","","274,241","8,496","5,925","4,553","6,344","20,475","72,510","122,847","33,091","557,000","","274,241","173,241","101,000","","173,241","760","1,212","2,803","6,603","14,609","27,253","120,001","2,525","101,000","6,286","3,548","3,305","3,773","84,088","789","","172,023","45,333","17,759","16,391","14,447","78,093","1,218","99,546","35,366","14,796","10,862","7,753","5,841","4,001","20,927","1,454","","631,433","8,884","32,964","36,684","52,024","83,591","239,251","178,035","1,192","19,815","","612,183","75,221","60,656","70,573","69,180","57,276","279,277","39,065"
