zipcode,year,borough,mean_rent,count
10001,2015,MANHATTAN,4010.00244983404,
10001,2016,MANHATTAN,4022.9857954424183,
10001,2017,MANHATTAN,3958.378502712007,
10001,2018,MANHATTAN,4001.0640290170923,
10001,2019,MANHATTAN,4145.262808645328,
10001,2020,MANHATTAN,3858.5850279171177,
10001,2021,MANHATTAN,4019.9423888884685,
10001,2022,MANHATTAN,4850.313358340381,
10002,2015,MANHATTAN,2982.146199944368,
10002,2016,MANHATTAN,3040.6474434333286,
10002,2017,MANHATTAN,3079.7905376427734,
10002,2018,MANHATTAN,3143.628304511202,
10002,2019,MANHATTAN,3227.8271810750844,
10002,2020,MANHATTAN,3080.5828143674485,
10002,2021,MANHATTAN,3049.0105659277083,
10002,2022,MANHATTAN,3744.7396169757803,
10003,2015,MANHATTAN,3257.433555446157,
10003,2016,MANHATTAN,3301.4847445006712,
10003,2018,MANHATTAN,3374.7792271225826,
10003,2019,MANHATTAN,3475.692773784364,
10003,2020,MANHATTAN,3288.6145796127216,
10003,2021,MANHATTAN,3310.1300461364494,
10003,2022,MANHATTAN,4092.5300974090155,
10004,2015,MANHATTAN,3790.1456607866103,
10004,2016,MANHATTAN,3798.708861720366,
10004,2017,MANHATTAN,3824.99649193107,
10004,2018,MANHATTAN,3826.9740204860404,
10004,2019,MANHATTAN,3984.422406585069,
10004,2020,MANHATTAN,3728.1182913031766,
10004,2021,MANHATTAN,3805.377318383722,
10004,2022,MANHATTAN,4778.815457365948,
10005,2015,MANHATTAN,3588.979126628818,
10005,2016,MANHATTAN,3578.9678246782646,
10005,2017,MANHATTAN,3561.7080445206047,
10005,2018,MANHATTAN,3661.1073141456322,
10005,2019,MANHATTAN,3777.9955689167164,
10005,2020,MANHATTAN,3618.444197550505,
10005,2021,MANHATTAN,3604.6114714827017,
10005,2022,MANHATTAN,4360.076112802087,
10006,2015,MANHATTAN,3320.1885427649772,
10006,2016,MANHATTAN,3297.1786233950256,
10006,2017,MANHATTAN,3306.7475075549805,
10006,2018,MANHATTAN,3354.8283206171836,
10006,2019,MANHATTAN,3498.0859533443904,
10006,2020,MANHATTAN,3277.3496476315827,
10006,2021,MANHATTAN,3229.6835497907473,
10006,2022,MANHATTAN,4027.5565991155404,
10007,2017,MANHATTAN,5678.907126192261,
10007,2018,MANHATTAN,5833.234548532343,
10007,2019,MANHATTAN,5950.774005498064,
10007,2020,MANHATTAN,5867.433202498191,
10007,2021,MANHATTAN,6085.975520670184,
10007,2022,MANHATTAN,7052.6805414763585,
10009,2015,MANHATTAN,3152.188391400262,
10009,2016,MANHATTAN,3196.03925534543,
10009,2018,MANHATTAN,3259.1514422497567,
10009,2019,MANHATTAN,3342.9852274595273,
10009,2020,MANHATTAN,3172.7131017192137,
10009,2021,MANHATTAN,3118.033742815052,
10009,2022,MANHATTAN,3855.236838268286,
10010,2015,MANHATTAN,3595.1382105633397,
10010,2016,MANHATTAN,3645.197104366605,
10010,2017,MANHATTAN,3684.642187399942,
10010,2018,MANHATTAN,3704.33620554842,
10010,2019,MANHATTAN,3807.8719973483508,
10010,2020,MANHATTAN,3581.849018466131,
10010,2021,MANHATTAN,3585.6415836985107,
10010,2022,MANHATTAN,4386.458387717076,
10011,2015,MANHATTAN,3613.1813952874377,
10011,2016,MANHATTAN,3673.8235625825528,
10011,2017,MANHATTAN,3685.9029705740154,
10011,2018,MANHATTAN,3747.2955696798363,
10011,2019,MANHATTAN,3843.140516280059,
10011,2020,MANHATTAN,3651.5382376240973,
10011,2021,MANHATTAN,3713.0112397668454,
10011,2022,MANHATTAN,4483.837975447942,
10012,2015,MANHATTAN,3222.584951583901,
10012,2016,MANHATTAN,3280.019393518039,
10012,2017,MANHATTAN,3292.867592199929,
10012,2018,MANHATTAN,3346.0276187296045,
10012,2019,MANHATTAN,3464.5871678670605,
10012,2020,MANHATTAN,3288.0126341060973,
10012,2021,MANHATTAN,3307.938673933379,
10012,2022,MANHATTAN,4099.213476887175,
10013,2015,MANHATTAN,4612.253536778395,
10013,2016,MANHATTAN,4649.483007727646,
10013,2017,MANHATTAN,4670.518092902116,
10013,2018,MANHATTAN,4776.905216169004,
10013,2020,MANHATTAN,4719.052682536628,
10013,2021,MANHATTAN,4764.279547151573,
10013,2022,MANHATTAN,5757.58844492253,
10014,2015,MANHATTAN,3502.4031992084906,
10014,2016,MANHATTAN,3545.502867314686,
10014,2017,MANHATTAN,3591.127916283444,
10014,2018,MANHATTAN,3657.8070911944237,
10014,2019,MANHATTAN,3771.298197407996,
10014,2020,MANHATTAN,3633.1304321594503,
10014,2021,MANHATTAN,3703.3960893273165,
10014,2022,MANHATTAN,4553.932440923061,
10016,2015,MANHATTAN,3569.097025049935,
10016,2016,MANHATTAN,3570.1880946328506,
10016,2017,MANHATTAN,3548.876408813006,
10016,2018,MANHATTAN,3587.7380421589337,
10016,2019,MANHATTAN,3682.562014991976,
10016,2020,MANHATTAN,3456.3052333510786,
10016,2021,MANHATTAN,3446.5123510400663,
10016,2022,MANHATTAN,4236.0836058131645,
10017,2015,MANHATTAN,3099.9117757470854,
10017,2016,MANHATTAN,3156.471747390396,
10017,2017,MANHATTAN,3152.240034101175,
10017,2018,MANHATTAN,3146.506970931821,
10017,2019,MANHATTAN,3210.6222887471044,
10017,2020,MANHATTAN,3028.609618526296,
10017,2021,MANHATTAN,3006.103509845754,
10017,2022,MANHATTAN,3719.5950652406123,
10018,2015,MANHATTAN,3638.6408253146756,
10018,2016,MANHATTAN,3625.117273585289,
10018,2017,MANHATTAN,3704.8629552921825,
10018,2019,MANHATTAN,3843.2232572886664,
10018,2020,MANHATTAN,3557.939034090603,
10018,2021,MANHATTAN,3630.6177794128594,
10018,2022,MANHATTAN,4377.95772975689,
10019,2015,MANHATTAN,3500.576353091093,
10019,2016,MANHATTAN,3497.1951616130336,
10019,2017,MANHATTAN,3482.989591327831,
10019,2018,MANHATTAN,3483.038938019427,
10019,2019,MANHATTAN,3545.3915520166556,
10019,2020,MANHATTAN,3345.2273029582757,
10019,2021,MANHATTAN,3347.1938544105756,
10019,2022,MANHATTAN,4044.5884208053053,
10021,2015,MANHATTAN,2634.484966769567,
10021,2016,MANHATTAN,2668.4414753335645,
10021,2017,MANHATTAN,2686.628385589934,
10021,2018,MANHATTAN,2736.2949296322513,
10021,2019,MANHATTAN,2812.849278083582,
10021,2020,MANHATTAN,2695.731753270233,
10021,2021,MANHATTAN,2602.856451586489,
10021,2022,MANHATTAN,3236.676093603746,
10022,2015,MANHATTAN,3234.7653182250356,
10022,2016,MANHATTAN,3271.1412541399277,
10022,2017,MANHATTAN,3268.0413700271506,
10022,2018,MANHATTAN,3282.8974970034665,
10022,2019,MANHATTAN,3353.0181907017663,
10022,2020,MANHATTAN,3190.834998722879,
10022,2021,MANHATTAN,3095.712105036257,
10022,2022,MANHATTAN,3822.858021986908,
10023,2015,MANHATTAN,3444.3870956143933,
10023,2016,MANHATTAN,3451.881381567007,
10023,2017,MANHATTAN,3446.485374291462,
10023,2018,MANHATTAN,3476.7599352424368,
10023,2019,MANHATTAN,3530.3253534927785,
10023,2020,MANHATTAN,3373.606508809853,
10023,2021,MANHATTAN,3376.4074225552463,
10023,2022,MANHATTAN,4059.7904850530786,
10024,2015,MANHATTAN,3025.6918824585855,
10024,2016,MANHATTAN,3042.26723853747,
10024,2017,MANHATTAN,3044.5318170601695,
10024,2018,MANHATTAN,3087.363148005484,
10024,2020,MANHATTAN,3047.9347711585892,
10024,2021,MANHATTAN,2990.7303735286114,
10024,2022,MANHATTAN,3605.5160308475374,
10025,2015,MANHATTAN,3121.1023157115496,
10025,2016,MANHATTAN,3163.560934831852,
10025,2017,MANHATTAN,3147.1991342227643,
10025,2018,MANHATTAN,3182.108580173574,
10025,2019,MANHATTAN,3277.923297340402,
10025,2020,MANHATTAN,3125.7690237529146,
10025,2021,MANHATTAN,3103.7778841187537,
10025,2022,MANHATTAN,3686.0102855681807,
10026,2015,MANHATTAN,2614.0570259852975,
10026,2016,MANHATTAN,2677.0497017775288,
10026,2017,MANHATTAN,2696.601267313124,
10026,2018,MANHATTAN,2736.6875663260926,
10026,2019,MANHATTAN,2801.964479407557,
10026,2020,MANHATTAN,2688.4569659674776,
10026,2021,MANHATTAN,2597.2429319122725,
10026,2022,MANHATTAN,2975.8900488355835,
10027,2015,MANHATTAN,2451.2654108684756,
10027,2016,MANHATTAN,2527.8962913520895,
10027,2017,MANHATTAN,2544.904521539883,
10027,2018,MANHATTAN,2598.5426835007115,
10027,2019,MANHATTAN,2660.886423046773,
10027,2020,MANHATTAN,2580.0659900665214,
10027,2021,MANHATTAN,2475.0492263956417,
10027,2022,MANHATTAN,2823.4708096857826,
10028,2015,MANHATTAN,2694.507921849771,
10028,2016,MANHATTAN,2745.6285973996105,
10028,2017,MANHATTAN,2776.375151746762,
10028,2018,MANHATTAN,2816.663182662076,
10028,2019,MANHATTAN,2901.56099147169,
10028,2020,MANHATTAN,2781.983464008144,
10028,2021,MANHATTAN,2666.6098327735913,
10028,2022,MANHATTAN,3282.560096158475,
10029,2015,MANHATTAN,2368.1018186957212,
10029,2016,MANHATTAN,2384.080622899078,
10029,2017,MANHATTAN,2466.407971822659,
10029,2018,MANHATTAN,2515.1694651868224,
10029,2019,MANHATTAN,2560.6142443320437,
10029,2020,MANHATTAN,2452.9735751416974,
10029,2021,MANHATTAN,2293.516298429033,
10029,2022,MANHATTAN,2671.167269657216,
10030,2015,MANHATTAN,1979.1725690918388,
10030,2016,MANHATTAN,2100.844222094342,
10030,2017,MANHATTAN,2139.6902513309888,
10030,2018,MANHATTAN,2182.706256649341,
10030,2019,MANHATTAN,2256.095830603852,
10030,2020,MANHATTAN,2235.688282991918,
10030,2021,MANHATTAN,2183.483963269961,
10030,2022,MANHATTAN,2463.20558967062,
10031,2015,MANHATTAN,2225.725897323303,
10031,2016,MANHATTAN,2322.3374778261677,
10031,2017,MANHATTAN,2368.886819122307,
10031,2018,MANHATTAN,2416.729418828797,
10031,2019,MANHATTAN,2476.5362131184647,
10031,2020,MANHATTAN,2427.5188927817567,
10031,2021,MANHATTAN,2350.378542672233,
10031,2022,MANHATTAN,2628.8120324131078,
10032,2015,MANHATTAN,2079.964428247559,
10032,2016,MANHATTAN,2118.918634412992,
10032,2017,MANHATTAN,2214.6211730445675,
10032,2018,MANHATTAN,2240.5129936542694,
10032,2019,MANHATTAN,2269.3556387122867,
10032,2020,MANHATTAN,2234.6489951945937,
10032,2021,MANHATTAN,2179.2625827207594,
10032,2022,MANHATTAN,2435.1795738409364,
10033,2015,MANHATTAN,2151.6960255731983,
10033,2016,MANHATTAN,2231.6949266014294,
10033,2017,MANHATTAN,2259.1664742835687,
10033,2018,MANHATTAN,2328.23220061642,
10033,2019,MANHATTAN,2371.3271058856517,
10033,2020,MANHATTAN,2321.2555678674835,
10033,2021,MANHATTAN,2248.730146661244,
10033,2022,MANHATTAN,2451.38726177442,
10034,2015,MANHATTAN,1805.8757022872526,
10034,2016,MANHATTAN,1860.2127973101724,
10034,2017,MANHATTAN,1886.027225204529,
10034,2018,MANHATTAN,1956.556849197448,
10034,2019,MANHATTAN,1994.0720990369482,
10034,2020,MANHATTAN,2003.4106305938997,
10034,2021,MANHATTAN,1955.581979613671,
10034,2022,MANHATTAN,2118.1306808202294,
10035,2015,MANHATTAN,2252.1682133133777,
10035,2016,MANHATTAN,2302.323734555073,
10035,2017,MANHATTAN,2374.019426204923,
10035,2018,MANHATTAN,2419.813467782975,
10035,2019,MANHATTAN,2484.4558974790093,
10035,2020,MANHATTAN,2404.475873422509,
10035,2021,MANHATTAN,2337.5008437599467,
10035,2022,MANHATTAN,2587.6519890676127,
10036,2015,MANHATTAN,3248.6302380863012,
10036,2016,MANHATTAN,3248.748050336288,
10036,2017,MANHATTAN,3257.676682643476,
10036,2018,MANHATTAN,3257.4139435046195,
10036,2019,MANHATTAN,3336.388620271238,
10036,2020,MANHATTAN,3173.988821177571,
10036,2021,MANHATTAN,3164.014250836504,
10036,2022,MANHATTAN,3917.2754244824623,
10037,2016,MANHATTAN,2016.3823141804396,
10037,2017,MANHATTAN,2067.9152724830974,
10037,2018,MANHATTAN,2121.2214530495166,
10037,2019,MANHATTAN,2188.1342469327406,
10037,2020,MANHATTAN,2139.57860808152,
10037,2021,MANHATTAN,2060.678309099014,
10037,2022,MANHATTAN,2308.7038668664964,
10038,2015,MANHATTAN,3729.9847240548925,
10038,2016,MANHATTAN,3693.6825799790918,
10038,2017,MANHATTAN,3710.058146952975,
10038,2018,MANHATTAN,3735.3844710526027,
10038,2019,MANHATTAN,3906.0169405335887,
10038,2020,MANHATTAN,3657.848177810969,
10038,2021,MANHATTAN,3698.881366373182,
10038,2022,MANHATTAN,4637.288984626308,
10039,2020,MANHATTAN,2116.7502581399194,
10039,2021,MANHATTAN,2046.797323504333,
10039,2022,MANHATTAN,2336.51524782991,
10040,2015,MANHATTAN,1717.097780658003,
10040,2016,MANHATTAN,1766.8584030411666,
10040,2017,MANHATTAN,1835.7562239630897,
10040,2018,MANHATTAN,1881.9131760085986,
10040,2019,MANHATTAN,1928.9292480943548,
10040,2020,MANHATTAN,1951.2252810016316,
10040,2021,MANHATTAN,1913.6443339696186,
10040,2022,MANHATTAN,2127.7566281144536,
10044,2020,MANHATTAN,3086.6841926601246,
10044,2021,MANHATTAN,3113.8732393571677,
10044,2022,MANHATTAN,3776.194997344161,
10065,2015,MANHATTAN,3004.756118614946,
10065,2016,MANHATTAN,3053.623521139854,
10065,2017,MANHATTAN,3066.5212235729964,
10065,2018,MANHATTAN,3120.198880171778,
10065,2019,MANHATTAN,3200.248187120655,
10065,2020,MANHATTAN,3073.879249132066,
10065,2021,MANHATTAN,2983.5761180253235,
10065,2022,MANHATTAN,3638.598713923218,
10069,2017,MANHATTAN,4759.811775321405,
10069,2018,MANHATTAN,4824.110190888011,
10069,2019,MANHATTAN,4985.804074396138,
10069,2020,MANHATTAN,4628.946196241034,
10069,2021,MANHATTAN,4793.37829164469,
10069,2022,MANHATTAN,5675.3959965451795,
10075,2015,MANHATTAN,2304.8563305937523,
10075,2016,MANHATTAN,2337.1886770088868,
10075,2017,MANHATTAN,2357.2037174444613,
10075,2018,MANHATTAN,2390.228714028785,
10075,2019,MANHATTAN,2488.559798175446,
10075,2020,MANHATTAN,2414.9705820900494,
10075,2021,MANHATTAN,2304.806291539895,
10075,2022,MANHATTAN,2890.03012825678,
10128,2015,MANHATTAN,2648.149735647979,
10128,2016,MANHATTAN,2676.2884159858572,
10128,2017,MANHATTAN,2697.4673542116325,
10128,2018,MANHATTAN,2752.7956859161645,
10128,2019,MANHATTAN,2838.7082521662505,
10128,2020,MANHATTAN,2726.33196714052,
10128,2021,MANHATTAN,2609.9335196573547,
10128,2022,MANHATTAN,3205.4397791641295,
10280,2016,MANHATTAN,3456.21768698836,
10280,2017,MANHATTAN,3407.5713886739445,
10280,2018,MANHATTAN,3489.899821821428,
10280,2019,MANHATTAN,3622.3072823811926,
10280,2020,MANHATTAN,3425.768137625215,
10280,2021,MANHATTAN,3535.707359305427,
10280,2022,MANHATTAN,4196.988082389002,
10282,2015,MANHATTAN,5768.610276508751,
10282,2016,MANHATTAN,5720.1363990361715,
10282,2017,MANHATTAN,5776.8233057143525,
10282,2018,MANHATTAN,5750.776205333819,
10282,2019,MANHATTAN,6012.092074832089,
10282,2020,MANHATTAN,5772.032939086169,
10282,2021,MANHATTAN,5967.1838699570035,
10282,2022,MANHATTAN,7539.058568788934,
